Variable,Coefficient,p-value
const,3.825949841493456,1.7557638182730826e-175
trip_distance,2.714173403468998,0.0
passenger_count,0.0008231137215257284,0.971442437486062
pickup_hour,0.01984174681570861,7.425479265697175e-05
pickup_month,0.11878425697160652,0.0010902509134928318
pickup_day,0.013502121637685351,0.00010293928316203252
pickup_weekday,-0.0788359914408279,7.874951664663712e-07
trip_duration_min,0.00426506843980641,1.1919470839945835e-10
tip_amount,0.2016788598101622,3.0058777591381226e-37
tolls_amount,0.0439972577974193,0.14320182682914248
extra,-0.595869597148021,8.837525831983115e-14
